epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2238.99,1.11056,0.76175,1.02545,0.87475,0.91979,0.92596,0.61719,1.1843,0.74544,1.12269,0.000410448,0.000410448,0.000410448
2,4338.8,1.17494,0.81103,1.04689,0.85676,0.84523,0.90587,0.5917,1.22724,0.83658,1.15571,0.000816197,0.000816197,0.000816197
3,6506.83,1.2106,0.85863,1.06623,0.78385,0.87006,0.88755,0.53063,1.23804,0.87977,1.17491,0.00121095,0.00121095,0.00121095
4,8665.16,1.23082,0.88187,1.08071,0.81291,0.85472,0.88351,0.53722,1.28466,0.868,1.16995,0.0012005,0.0012005,0.0012005
5,10958.5,1.24355,0.89126,1.07887,0.75996,0.84163,0.85077,0.53972,1.32316,0.93517,1.2127,0.001184,0.001184,0.001184
6,13109.4,1.21663,0.87127,1.07533,0.81218,0.84318,0.87752,0.53939,1.29694,0.89963,1.21112,0.0011675,0.0011675,0.0011675
7,15232,1.23396,0.88344,1.08501,0.80599,0.8692,0.8987,0.56516,1.25077,0.84394,1.18971,0.001151,0.001151,0.001151
8,17420,1.213,0.86161,1.06968,0.83256,0.84597,0.88206,0.54514,1.24088,0.92434,1.15277,0.0011345,0.0011345,0.0011345
9,19685.4,1.20218,0.84864,1.06481,0.74693,0.82112,0.81258,0.48314,1.28074,1.02652,1.15635,0.001118,0.001118,0.001118
10,22052.4,1.20157,0.82971,1.06346,0.79737,0.895,0.87054,0.57088,1.24493,0.9234,1.17737,0.0011015,0.0011015,0.0011015
