epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.817,3.2785,4.58874,2.28752,0.00185,0.14423,0.01812,0.00324,3.41684,4.86819,2.36834,5e-05,5e-05,5e-05
2,214.094,2.8695,4.40977,2.0271,0.0018,0.15385,0.06664,0.02586,2.71541,4.25282,1.82093,0.000111386,0.000111386,0.000111386
3,320.117,2.21578,3.91252,1.62614,0.00241,0.24725,0.14735,0.05721,2.33802,4.00352,1.56286,0.000171535,0.000171535,0.000171535
4,436.572,2.05665,3.48205,1.45207,0.00288,0.36401,0.16303,0.07539,2.07501,3.7348,1.47088,0.000230446,0.000230446,0.000230446
5,557.808,1.98788,3.125,1.36899,0.26814,0.39,0.23789,0.07432,1.88249,3.4551,1.45944,0.00028812,0.00028812,0.00028812
6,680.019,1.76599,2.85047,1.25577,0.01102,0.84764,0.46636,0.21539,1.64101,3.23546,1.26826,0.000344556,0.000344556,0.000344556
7,809.955,1.63795,2.56585,1.18278,0.37191,0.59421,0.56902,0.27618,1.54404,3.07233,1.24131,0.000399755,0.000399755,0.000399755
8,937.759,1.59738,2.39284,1.18576,0.83522,0.18977,0.52984,0.23174,1.72505,3.0792,1.30446,0.000453716,0.000453716,0.000453716
9,1068.77,1.54391,2.16079,1.17836,0.94977,0.18999,0.69868,0.32681,1.67525,2.86737,1.29551,0.00050644,0.00050644,0.00050644
10,1203.9,1.53705,2.10096,1.18491,0.57929,0.68359,0.65789,0.25312,1.78602,3.13854,1.31842,0.000557926,0.000557926,0.000557926
11,1341.95,1.44868,1.90632,1.16196,0.9575,0.04711,0.69309,0.27581,1.71849,3.15327,1.26212,0.000608175,0.000608175,0.000608175
12,1471.46,1.45049,1.79438,1.16771,0.93421,0.44514,0.71594,0.37198,1.54912,2.48115,1.26191,0.000657186,0.000657186,0.000657186
13,1604.87,1.52454,1.76992,1.18898,0.89755,0.41131,0.75952,0.40736,1.55148,2.45955,1.30004,0.00070496,0.00070496,0.00070496
14,1728.63,1.45606,1.78023,1.16041,0.92549,0.25664,0.80136,0.39598,1.59635,2.69245,1.30161,0.000751496,0.000751496,0.000751496
15,1848.08,1.40824,1.65662,1.13709,0.78734,0.54959,0.80087,0.39323,1.53837,2.29579,1.27348,0.000796795,0.000796795,0.000796795
16,1971.77,1.37667,1.62466,1.12027,0.7864,0.60793,0.792,0.41489,1.51737,2.26854,1.25335,0.000840856,0.000840856,0.000840856
17,2113.89,1.41784,1.7307,1.13507,0.66254,0.72228,0.7317,0.39572,1.55094,2.01999,1.26441,0.00088368,0.00088368,0.00088368
18,2260.09,1.45426,1.70247,1.13851,0.6864,0.75075,0.77531,0.44425,1.44713,1.73665,1.21846,0.000925266,0.000925266,0.000925266
19,2371.38,1.3746,1.54292,1.12138,0.64109,0.79978,0.77936,0.44514,1.40192,1.91448,1.21146,0.000965615,0.000965615,0.000965615
20,2537.37,1.44406,1.52209,1.1409,0.67968,0.7196,0.79454,0.44416,1.46568,1.87504,1.23392,0.00100473,0.00100473,0.00100473
21,2667.15,1.31674,1.45186,1.0969,0.69808,0.72555,0.78749,0.42461,1.46995,1.82468,1.24156,0.0010025,0.0010025,0.0010025
22,2803.34,1.29928,1.38487,1.08851,0.72532,0.68411,0.82133,0.45726,1.46158,1.90381,1.23553,0.000990125,0.000990125,0.000990125
23,2939.8,1.35418,1.4259,1.09157,0.749,0.77952,0.82027,0.46155,1.49836,2.06269,1.24389,0.00097775,0.00097775,0.00097775
24,3075.32,1.31383,1.3884,1.07624,0.69448,0.72643,0.85217,0.39593,1.71755,2.0737,1.30594,0.000965375,0.000965375,0.000965375
25,3202.15,1.29936,1.33438,1.08067,0.75266,0.72335,0.83942,0.39932,1.7146,1.86508,1.30275,0.000953,0.000953,0.000953
26,3305.66,1.27364,1.36859,1.09089,0.75807,0.81664,0.84769,0.4502,1.63101,1.77578,1.25558,0.000940625,0.000940625,0.000940625
27,3456.26,1.35656,1.3584,1.09383,0.75601,0.76826,0.7902,0.44439,1.54169,1.97829,1.22618,0.00092825,0.00092825,0.00092825
