epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.443,3.2785,4.58874,2.28752,0.00185,0.14423,0.01812,0.00324,3.41684,4.86819,2.36834,5e-05,5e-05,5e-05
2,245.953,2.87209,4.41062,2.02855,0.0018,0.15385,0.06896,0.02627,2.71689,4.25375,1.82285,0.000110272,0.000110272,0.000110272
3,371.137,2.21018,3.91666,1.62395,0.00221,0.23764,0.1456,0.05843,2.34681,3.99413,1.54355,0.00016807,0.00016807,0.00016807
4,507.653,2.09049,3.49997,1.46381,0.00356,0.42491,0.16799,0.06918,2.12265,3.75325,1.45339,0.000223392,0.000223392,0.000223392
5,648.268,1.99643,3.13902,1.35373,0.00658,0.64858,0.19761,0.08382,1.81576,3.5248,1.33135,0.00027624,0.00027624,0.00027624
6,773.996,1.80222,2.86465,1.25554,0.01293,0.96955,0.39009,0.17642,1.65543,3.3154,1.23708,0.000326613,0.000326613,0.000326613
7,911.174,1.66782,2.54986,1.18973,0.01114,0.95112,0.4988,0.22399,1.46408,3.13807,1.2077,0.00037451,0.00037451,0.00037451
8,1033.35,1.60244,2.41687,1.1784,0.99679,0.16346,0.51291,0.20832,1.65015,3.20106,1.23522,0.000419932,0.000419932,0.000419932
9,1137.22,1.57253,2.22402,1.17725,1,0.07957,0.63358,0.31567,1.59257,2.83861,1.23566,0.00046288,0.00046288,0.00046288
10,1266.57,1.53273,2.10882,1.16715,0.79503,0.24973,0.60985,0.26799,1.7779,3.03448,1.30425,0.000503353,0.000503353,0.000503353
11,1400.62,1.44799,1.94144,1.16342,0.97013,0.07113,0.61979,0.22327,1.89887,3.1116,1.31964,0.00054135,0.00054135,0.00054135
12,1508.92,1.47245,1.79151,1.16219,0.91592,0.25274,0.77023,0.35627,1.65284,2.68932,1.28369,0.000576873,0.000576873,0.000576873
13,1621.73,1.4895,1.79963,1.17504,0.90065,0.35759,0.76488,0.3626,1.70167,2.59106,1.31211,0.00060992,0.00060992,0.00060992
14,1756.32,1.40953,1.7574,1.14842,0.93154,0.34938,0.7975,0.37902,1.73936,2.68203,1.29136,0.000640492,0.000640492,0.000640492
15,1878.54,1.42555,1.6419,1.13588,0.9203,0.34965,0.76187,0.40207,1.64118,2.53492,1.26176,0.00066859,0.00066859,0.00066859
