epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.984,3.35915,4.60153,2.3772,0.00161,0.12,0.0105,0.00179,3.38508,4.84442,2.36233,3.75e-05,3.75e-05,3.75e-05
2,150.426,3.00461,4.33134,2.11391,0.00221,0.18,0.10706,0.04379,2.57872,4.18917,1.8232,8.66338e-05,8.66338e-05,8.66338e-05
3,238.202,2.49432,4.00712,1.73634,0.00222,0.2625,0.13625,0.05499,2.3389,4.00882,1.53575,0.000134777,0.000134777,0.000134777
4,318.883,2.07444,3.60046,1.51567,0.0037,0.4375,0.17394,0.06886,1.95111,3.80104,1.37414,0.000181931,0.000181931,0.000181931
5,395.679,1.9998,3.18646,1.41943,0.00504,0.55208,0.23773,0.1187,1.77446,3.61832,1.32228,0.000228095,0.000228095,0.000228095
6,471.238,1.82215,2.77126,1.3334,0.00752,0.63375,0.31827,0.13649,1.73261,3.36513,1.25054,0.000273269,0.000273269,0.000273269
7,556.632,1.73973,2.64108,1.28795,0.01114,0.9075,0.55926,0.22282,1.63501,3.26018,1.20716,0.000317452,0.000317452,0.000317452
8,629.914,1.67251,2.44914,1.2288,0.0103,0.90875,0.50004,0.22348,1.6543,3.3289,1.24347,0.000360646,0.000360646,0.000360646
9,708.781,1.51306,2.26361,1.19367,0.00855,0.75792,0.33168,0.14409,1.70308,3.40195,1.3105,0.00040285,0.00040285,0.00040285
10,810.891,1.52345,2.16476,1.17313,0.65177,0.40958,0.50441,0.26115,1.59884,3.19562,1.26493,0.000444064,0.000444064,0.000444064
11,904.526,1.50185,2.0162,1.14141,0.89848,0.15259,0.50286,0.25941,1.64268,3.33009,1.29385,0.000484288,0.000484288,0.000484288
12,985.05,1.48357,1.8991,1.12355,1,0.05209,0.27495,0.13568,1.85973,3.47676,1.36608,0.000523521,0.000523521,0.000523521
13,1075.56,1.3907,1.77999,1.11637,0.97901,0.10467,0.28603,0.12762,1.98591,3.42997,1.38817,0.000561765,0.000561765,0.000561765
14,1170.57,1.38099,1.76227,1.10579,0.97857,0.16209,0.35566,0.1731,1.82216,3.19424,1.34729,0.000599019,0.000599019,0.000599019
15,1257.98,1.30549,1.63477,1.10258,0.94925,0.26136,0.58307,0.24511,1.77138,3.08083,1.32481,0.000635282,0.000635282,0.000635282
16,1357.21,1.33277,1.58535,1.11245,0.92604,0.15733,0.55634,0.25592,1.66614,3.15285,1.29653,0.000670556,0.000670556,0.000670556
17,1442.27,1.28558,1.5969,1.10994,0.96025,0.1429,0.62666,0.31845,1.54816,3.00305,1.25624,0.00070484,0.00070484,0.00070484
18,1527.39,1.30097,1.50157,1.05117,0.90474,0.15238,0.58894,0.3094,1.65086,3.0405,1.25553,0.000738134,0.000738134,0.000738134
19,1601.25,1.22393,1.46205,1.0693,0.79726,0.21473,0.62639,0.34251,1.57632,2.96041,1.25593,0.000770438,0.000770438,0.000770438
20,1672.21,1.26758,1.39621,1.09197,0.88293,0.28317,0.71504,0.39003,1.48755,2.83367,1.23658,0.000801751,0.000801751,0.000801751
21,1779.05,1.22694,1.3582,1.066,0.82923,0.665,0.87301,0.50222,1.40575,2.17999,1.16326,0.000832075,0.000832075,0.000832075
22,1868.09,1.23059,1.35367,1.04138,0.77958,0.75886,0.89179,0.53557,1.33403,1.95416,1.15733,0.000861409,0.000861409,0.000861409
23,1949.61,1.24197,1.33107,1.07704,0.78553,0.74986,0.91257,0.52805,1.35009,1.93818,1.15521,0.000889753,0.000889753,0.000889753
